
---------- Begin Simulation Statistics ----------
simSeconds                                   0.360413                       # Number of seconds simulated (Second)
simTicks                                 360412978645                       # Number of ticks simulated (Tick)
finalTick                                360412978645                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2099.09                       # Real time elapsed on the host (Second)
hostTickRate                                171699822                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1374732                       # Number of bytes of host memory used (Byte)
simInsts                                    349593195                       # Number of instructions simulated (Count)
simOps                                      613093065                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   166545                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292076                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1151479166                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.293769                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.303604                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       615057337                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1144                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      614639301                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2653                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1965410                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2536992                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 373                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1147966596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.535416                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.404502                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 956891769     83.36%     83.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  42096614      3.67%     87.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  36440717      3.17%     90.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  30644799      2.67%     92.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  36957541      3.22%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  20637507      1.80%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16352654      1.42%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4966727      0.43%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2978268      0.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1147966596                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2206106     45.29%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     45.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     45.29% # attempts to use FU when none available (Count)
