
---------- Begin Simulation Statistics ----------
simSeconds                                   3.369105                       # Number of seconds simulated (Second)
simTicks                                 3369104586208                       # Number of ticks simulated (Tick)
finalTick                                3369104586208                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  20514.20                       # Real time elapsed on the host (Second)
hostTickRate                                164232833                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4903440                       # Number of bytes of host memory used (Byte)
simInsts                                   3985477993                       # Number of instructions simulated (Count)
simOps                                     6752832789                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   194279                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     329179                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10763912417                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.700783                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.370263                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      6762469807                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1721                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     6760308625                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5812                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              9638733                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12076210                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 650                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10759308632                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.628322                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.459321                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                8493163138     78.94%     78.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 607980946      5.65%     84.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 456983542      4.25%     88.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 359423562      3.34%     92.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 372669870      3.46%     95.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 238956269      2.22%     97.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 160713598      1.49%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  44994160      0.42%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  24423547      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10759308632                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9834268     18.86%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.86% # attempts to use FU when none available (Count)
