
---------- Begin Simulation Statistics ----------
simSeconds                                   6.707143                       # Number of seconds simulated (Second)
simTicks                                 6707143481086                       # Number of ticks simulated (Tick)
finalTick                                6707143481086                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  49273.42                       # Real time elapsed on the host (Second)
hostTickRate                                136120915                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    7720460                       # Number of bytes of host memory used (Byte)
simInsts                                  10716825422                       # Number of instructions simulated (Count)
simOps                                    17848796655                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   217497                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     362240                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      21428573423                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.999526                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.500118                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     17872053850                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5549                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    17865706675                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  17372                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23262738                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          29647970                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1928                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         21421230469                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.834019                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.602599                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               15219266650     71.05%     71.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1780633668      8.31%     79.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1301126424      6.07%     85.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 969210668      4.52%     89.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 942051613      4.40%     94.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 657507492      3.07%     97.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 393538854      1.84%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 104949681      0.49%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  52945419      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           21421230469                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5962368      4.40%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      4.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   4172      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      3      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    2      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%      4.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%      4.41% # attempts to use FU when none available (Count)
