
---------- Begin Simulation Statistics ----------
simSeconds                                   5.738341                       # Number of seconds simulated (Second)
simTicks                                 5738341006111                       # Number of ticks simulated (Tick)
finalTick                                5738341006111                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  60513.48                       # Real time elapsed on the host (Second)
hostTickRate                                 94827489                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4131352                       # Number of bytes of host memory used (Byte)
simInsts                                  14704053966                       # Number of instructions simulated (Count)
simOps                                    24138155229                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242988                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     398889                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      18333357848                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.246823                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.802038                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     24260705504                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    52253                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    24219207135                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  78114                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            122602522                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         175917209                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               47306                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         18325852109                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.321587                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.705986                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                8837442924     48.22%     48.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                3230779352     17.63%     65.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2274669900     12.41%     78.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1512173654      8.25%     86.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1137360821      6.21%     92.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 786443828      4.29%     97.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 431311068      2.35%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  92326307      0.50%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  23344255      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           18325852109                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                26093520     13.15%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   5019      0.00%     13.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     13.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      6      0.00%     13.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     13.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     13.16% # attempts to use FU when none available (Count)
