
---------- Begin Simulation Statistics ----------
simSeconds                                   0.195098                       # Number of seconds simulated (Second)
simTicks                                 195098146193                       # Number of ticks simulated (Tick)
finalTick                                195098146193                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    699.02                       # Real time elapsed on the host (Second)
hostTickRate                                279100490                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2053008                       # Number of bytes of host memory used (Byte)
simInsts                                     85549978                       # Number of instructions simulated (Count)
simOps                                      168640872                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   122385                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     241252                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        623316762                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.285996                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.137250                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       169385525                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      946                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      169277595                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1698                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               745593                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            866794                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 271                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           620327976                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.272884                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.189610                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 578600487     93.27%     93.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9483790      1.53%     94.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2416253      0.39%     95.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9513316      1.53%     96.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2440834      0.39%     97.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3620134      0.58%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4777837      0.77%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5912277      0.95%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3563048      0.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             620327976                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2395291     99.61%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.61% # attempts to use FU when none available (Count)
