
---------- Begin Simulation Statistics ----------
simSeconds                                   1.717089                       # Number of seconds simulated (Second)
simTicks                                 1717089038736                       # Number of ticks simulated (Tick)
finalTick                                1717089038736                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  15508.75                       # Real time elapsed on the host (Second)
hostTickRate                                110717427                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2648588                       # Number of bytes of host memory used (Byte)
simInsts                                   3499884196                       # Number of instructions simulated (Count)
simOps                                     5827133443                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   225672                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     375732                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       5485907473                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.567454                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.637977                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5838935884                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    11217                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     5835453186                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12783                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11813652                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          15946017                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4776                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5449659934                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.070792                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.746242                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3434759536     63.03%     63.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 564313905     10.36%     73.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 426086522      7.82%     81.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 322190203      5.91%     87.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 309128457      5.67%     92.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 212444253      3.90%     96.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 128683729      2.36%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  34868471      0.64%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  17184858      0.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5449659934                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2523622      5.63%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    999      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      3      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      5.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      5.63% # attempts to use FU when none available (Count)
