
---------- Begin Simulation Statistics ----------
simSeconds                                   2.337322                       # Number of seconds simulated (Second)
simTicks                                 2337322111079                       # Number of ticks simulated (Tick)
finalTick                                2337322111079                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  16929.64                       # Real time elapsed on the host (Second)
hostTickRate                                138060946                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3358224                       # Number of bytes of host memory used (Byte)
simInsts                                   3589351185                       # Number of instructions simulated (Count)
simOps                                     5999243890                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   212016                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     354363                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       7467482784                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.080455                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.480664                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      6007570877                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2886                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     6005301562                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7206                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8329867                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11119632                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1245                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          7460075060                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.804992                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.587330                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5391538187     72.27%     72.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 584046749      7.83%     80.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 430534559      5.77%     85.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 326047682      4.37%     90.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 320090803      4.29%     94.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 218973696      2.94%     97.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 133697508      1.79%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  36541099      0.49%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  18604777      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            7460075060                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3300935      7.24%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.24% # attempts to use FU when none available (Count)
