
---------- Begin Simulation Statistics ----------
simSeconds                                   0.765152                       # Number of seconds simulated (Second)
simTicks                                 765152471105                       # Number of ticks simulated (Tick)
finalTick                                765152471105                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2894.34                       # Real time elapsed on the host (Second)
hostTickRate                                264362086                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5609364                       # Number of bytes of host memory used (Byte)
simInsts                                    340527008                       # Number of instructions simulated (Count)
simOps                                      671408504                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   117653                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     231973                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2444576586                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.178804                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.139299                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       673270293                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      970                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      673115111                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1686                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1862753                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1308074                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 295                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2441437473                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.275704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.196002                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2275705501     93.21%     93.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  37653392      1.54%     94.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9481742      0.39%     95.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37838330      1.55%     96.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9615175      0.39%     97.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14345774      0.59%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19003336      0.78%     98.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  23580125      0.97%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14214098      0.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2441437473                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9539358     99.87%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.87% # attempts to use FU when none available (Count)
