
---------- Begin Simulation Statistics ----------
simSeconds                                   0.765919                       # Number of seconds simulated (Second)
simTicks                                 765918876019                       # Number of ticks simulated (Tick)
finalTick                                765918876019                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  13439.01                       # Real time elapsed on the host (Second)
hostTickRate                                 56992224                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     931344                       # Number of bytes of host memory used (Byte)
simInsts                                   3515863879                       # Number of instructions simulated (Count)
simOps                                     5849463124                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   261616                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     435260                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2447025164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.695995                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.436791                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5872513608                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    38722                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     5864640560                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  26227                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23089200                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          34030373                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               15001                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2444015879                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.399592                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.928213                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 421117453     17.23%     17.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 544442817     22.28%     39.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 512584793     20.97%     60.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 280264098     11.47%     71.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 244503733     10.00%     81.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 230385862      9.43%     91.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 153264179      6.27%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  54917005      2.25%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2535939      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2444015879                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5715085     12.36%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    209      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     12.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      3      0.00%     12.36% # attempts to use FU when none available (Count)
