
---------- Begin Simulation Statistics ----------
simSeconds                                   0.086005                       # Number of seconds simulated (Second)
simTicks                                  86005436063                       # Number of ticks simulated (Tick)
finalTick                                 86005436063                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    244.01                       # Real time elapsed on the host (Second)
hostTickRate                                352468845                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1080208                       # Number of bytes of host memory used (Byte)
simInsts                                     24128286                       # Number of instructions simulated (Count)
simOps                                       44785464                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    98883                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     183540                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        274777752                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              11.388200                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.087810                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        45285474                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      963                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       47233304                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1751                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               500967                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            834732                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 288                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           272024536                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.173636                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.889363                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 259561433     95.42%     95.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1711464      0.63%     96.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1554663      0.57%     96.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2587322      0.95%     97.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2534253      0.93%     98.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1540100      0.57%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1439325      0.53%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    590722      0.22%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    505254      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             272024536                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  364276     38.36%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     10      0.00%     38.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     38.36% # attempts to use FU when none available (Count)
