
---------- Begin Simulation Statistics ----------
simSeconds                                   0.474673                       # Number of seconds simulated (Second)
simTicks                                 474672981048                       # Number of ticks simulated (Tick)
finalTick                                474672981048                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4109.64                       # Real time elapsed on the host (Second)
hostTickRate                                115502201                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1387024                       # Number of bytes of host memory used (Byte)
simInsts                                    900344644                       # Number of instructions simulated (Count)
simOps                                     1505014772                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   219081                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     366215                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1516527097                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.684385                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.593688                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1508427824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3497                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1507420656                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4793                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3416543                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4824874                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1376                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1512316534                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.996763                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.712891                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 996214534     65.87%     65.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 141442326      9.35%     75.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 108721737      7.19%     82.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  83275556      5.51%     87.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  80759324      5.34%     93.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  54305415      3.59%     96.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  33694491      2.23%     99.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9248337      0.61%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4654814      0.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1512316534                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1013310      8.71%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      8.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      8.71% # attempts to use FU when none available (Count)
