
---------- Begin Simulation Statistics ----------
simSeconds                                   0.195379                       # Number of seconds simulated (Second)
simTicks                                 195378886222                       # Number of ticks simulated (Tick)
finalTick                                195378886222                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    722.46                       # Real time elapsed on the host (Second)
hostTickRate                                270434955                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2054032                       # Number of bytes of host memory used (Byte)
simInsts                                     85764203                       # Number of instructions simulated (Count)
simOps                                      169031858                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   118711                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     233966                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        624213695                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.278254                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.137396                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       169769992                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      933                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      169679601                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1761                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               739061                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            856767                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 258                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           621103588                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.273191                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.189931                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 579273685     93.27%     93.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9484781      1.53%     94.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2426954      0.39%     95.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9539442      1.54%     96.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2479970      0.40%     97.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3627570      0.58%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4797188      0.77%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5910256      0.95%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3563742      0.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             621103588                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2396831     99.47%     99.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.47% # attempts to use FU when none available (Count)
