
---------- Begin Simulation Statistics ----------
simSeconds                                   1.538151                       # Number of seconds simulated (Second)
simTicks                                 1538151048739                       # Number of ticks simulated (Tick)
finalTick                                1538151048739                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   8093.87                       # Real time elapsed on the host (Second)
hostTickRate                                190039122                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2991632                       # Number of bytes of host memory used (Byte)
simInsts                                   1395607472                       # Number of instructions simulated (Count)
simOps                                     2447216625                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   172428                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     302354                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4914220604                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.521205                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.283994                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2453369664                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1242                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2452215735                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3936                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6154275                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7182392                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 441                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4910563098                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.499376                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.362948                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4146389009     84.44%     84.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 171248656      3.49%     87.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 144117598      2.93%     90.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 123132138      2.51%     93.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 146509332      2.98%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  81379330      1.66%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  66044585      1.34%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  19805619      0.40%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11936831      0.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4910563098                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8741912     45.28%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     45.28% # attempts to use FU when none available (Count)
