
---------- Begin Simulation Statistics ----------
simSeconds                                   5.166623                       # Number of seconds simulated (Second)
simTicks                                 5166623271182                       # Number of ticks simulated (Tick)
finalTick                                5166623271182                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  46021.31                       # Real time elapsed on the host (Second)
hostTickRate                                112265879                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    6211088                       # Number of bytes of host memory used (Byte)
simInsts                                  10648614361                       # Number of instructions simulated (Count)
simOps                                    17712963050                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   231384                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     384886                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      16506783615                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.550134                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.645105                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     17746466190                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    26885                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    17736198455                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  37831                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             33530019                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          46093080                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                8564                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         16437188960                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.079029                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.746194                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               10286302813     62.58%     62.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1739660743     10.58%     73.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1291240190      7.86%     81.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1002018773      6.10%     87.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 934104357      5.68%     92.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 639128496      3.89%     96.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 388659544      2.36%     99.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 104608511      0.64%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  51465533      0.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           16437188960                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6013420      4.43%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.43% # attempts to use FU when none available (Count)
