
---------- Begin Simulation Statistics ----------
simSeconds                                   0.163117                       # Number of seconds simulated (Second)
simTicks                                 163116541117                       # Number of ticks simulated (Tick)
finalTick                                163116541117                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    570.83                       # Real time elapsed on the host (Second)
hostTickRate                                285752997                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1223572                       # Number of bytes of host memory used (Byte)
simInsts                                     69308278                       # Number of instructions simulated (Count)
simOps                                      126290129                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   121417                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     221239                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        521139110                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.519147                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.132994                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       127057713                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      930                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      126915848                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1900                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               768508                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1126592                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 255                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           518232099                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.244902                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.064216                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 485323565     93.65%     93.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4291739      0.83%     94.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5319906      1.03%     95.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5940959      1.15%     96.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5043538      0.97%     97.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4955789      0.96%     98.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4111250      0.79%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1422001      0.27%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1823352      0.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             518232099                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  771410     83.99%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     83.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     83.99% # attempts to use FU when none available (Count)
