
---------- Begin Simulation Statistics ----------
simSeconds                                   0.204755                       # Number of seconds simulated (Second)
simTicks                                 204755466034                       # Number of ticks simulated (Tick)
finalTick                                204755466034                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    725.42                       # Real time elapsed on the host (Second)
hostTickRate                                282257783                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2078612                       # Number of bytes of host memory used (Byte)
simInsts                                     88972915                       # Number of instructions simulated (Count)
simOps                                      174876220                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   122650                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     241069                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        654170819                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.352471                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.136009                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       175641853                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      958                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      175915991                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1699                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               766585                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            888328                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 283                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           651221876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.270132                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.179702                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 607717106     93.32%     93.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9644964      1.48%     94.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2685922      0.41%     95.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9904042      1.52%     96.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2882098      0.44%     97.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3840824      0.59%     97.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4987163      0.77%     98.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5946489      0.91%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3613268      0.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             651221876                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2432546     95.76%     95.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     95.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.76% # attempts to use FU when none available (Count)
