
---------- Begin Simulation Statistics ----------
simSeconds                                   2.503716                       # Number of seconds simulated (Second)
simTicks                                 2503716380997                       # Number of ticks simulated (Tick)
finalTick                                2503716380997                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  40715.63                       # Real time elapsed on the host (Second)
hostTickRate                                 61492752                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1251856                       # Number of bytes of host memory used (Byte)
simInsts                                  10749001590                       # Number of instructions simulated (Count)
simOps                                    17879169793                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   264002                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     439123                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       7999093870                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.744171                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.343777                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     17946444532                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    97527                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    17923382146                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  83064                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             67372260                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          99385023                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               26286                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          7993804716                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.242159                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.951760                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1796144831     22.47%     22.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1672176255     20.92%     43.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1575647957     19.71%     63.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 864545878     10.82%     73.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 745139595      9.32%     83.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 698544164      8.74%     91.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 465965006      5.83%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 167925133      2.10%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7715897      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            7993804716                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                16769600     11.94%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     11.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    874      0.00%     11.94% # attempts to use FU when none available (Count)
