
---------- Begin Simulation Statistics ----------
simSeconds                                   1.083432                       # Number of seconds simulated (Second)
simTicks                                 1083432336019                       # Number of ticks simulated (Tick)
finalTick                                1083432336019                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2195.29                       # Real time elapsed on the host (Second)
hostTickRate                                493526881                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1621908                       # Number of bytes of host memory used (Byte)
simInsts                                     70169549                       # Number of instructions simulated (Count)
simOps                                      127860612                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    31964                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      58243                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3461445164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              49.329734                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.020272                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       128725977                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      952                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      138222045                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2231                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               866311                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1307229                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 277                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3456817085                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.039985                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.428598                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3416299458     98.83%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10029519      0.29%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5932675      0.17%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5823137      0.17%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7496811      0.22%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3777927      0.11%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3937625      0.11%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1804328      0.05%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1715605      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3456817085                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  759750     23.46%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     23.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.46% # attempts to use FU when none available (Count)
