
---------- Begin Simulation Statistics ----------
simSeconds                                   0.230524                       # Number of seconds simulated (Second)
simTicks                                 230523996070                       # Number of ticks simulated (Tick)
finalTick                                230523996070                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    662.23                       # Real time elapsed on the host (Second)
hostTickRate                                348102163                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1324948                       # Number of bytes of host memory used (Byte)
simInsts                                     61774972                       # Number of instructions simulated (Count)
simOps                                      113364525                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    93283                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     171186                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        736498391                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              11.922278                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.083877                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       114081686                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      979                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      120297579                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1845                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               718134                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1062972                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 304                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           733459602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.164014                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.858228                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 701031916     95.58%     95.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4339297      0.59%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5218266      0.71%     96.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6674506      0.91%     97.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5606692      0.76%     98.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3923165      0.53%     99.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4171389      0.57%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1527663      0.21%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    966708      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             733459602                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  569041     26.50%     26.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     26.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     26.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     26.50% # attempts to use FU when none available (Count)
