
---------- Begin Simulation Statistics ----------
simSeconds                                   0.579036                       # Number of seconds simulated (Second)
simTicks                                 579035753492                       # Number of ticks simulated (Tick)
finalTick                                579035753492                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5056.07                       # Real time elapsed on the host (Second)
hostTickRate                                114522974                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1497612                       # Number of bytes of host memory used (Byte)
simInsts                                   1116746257                       # Number of instructions simulated (Count)
simOps                                     1864717731                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   220873                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     368808                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1849954485                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.656558                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.603661                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1869066753                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4278                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1867805040                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5845                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4353294                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5970824                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1629                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1834943985                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.017908                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.730733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1188787230     64.79%     64.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 186477218     10.16%     74.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 133655901      7.28%     82.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 108856040      5.93%     88.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  92094255      5.02%     93.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  59695022      3.25%     96.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  41635960      2.27%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  19158862      1.04%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4583497      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1834943985                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  943317      7.32%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     73      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     11      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      7.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%      7.32% # attempts to use FU when none available (Count)
