
---------- Begin Simulation Statistics ----------
simSeconds                                   0.059191                       # Number of seconds simulated (Second)
simTicks                                  59190873486                       # Number of ticks simulated (Tick)
finalTick                                 59190873486                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    186.40                       # Real time elapsed on the host (Second)
hostTickRate                                317543501                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1161104                       # Number of bytes of host memory used (Byte)
simInsts                                     22097758                       # Number of instructions simulated (Count)
simOps                                       43490320                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   118549                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     233314                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        189108223                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.557801                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.116852                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        43928262                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1005                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       43808573                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1838                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               438941                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            770861                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 321                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           159719017                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.274285                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.190396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 149451136     93.57%     93.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1865346      1.17%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    661475      0.41%     95.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1872759      1.17%     96.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    980144      0.61%     96.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    663630      0.42%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2415025      1.51%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1202892      0.75%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    606610      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             159719017                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  607600     98.76%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     40      0.01%     98.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     98.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      6      0.00%     98.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     2      0.00%     98.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     98.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     98.77% # attempts to use FU when none available (Count)
