
---------- Begin Simulation Statistics ----------
simSeconds                                   0.886209                       # Number of seconds simulated (Second)
simTicks                                 886208563632                       # Number of ticks simulated (Tick)
finalTick                                886208563632                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6027.82                       # Real time elapsed on the host (Second)
hostTickRate                                147019846                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1914380                       # Number of bytes of host memory used (Byte)
simInsts                                   1213826272                       # Number of instructions simulated (Count)
simOps                                     2049924325                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   201371                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     340077                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2831337265                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.332572                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.428711                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2053923790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1925                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2052956292                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3774                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4001384                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5089865                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 776                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2825310185                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.726630                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.546676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2127208857     75.29%     75.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 196511045      6.96%     82.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 140255793      4.96%     87.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 118860641      4.21%     91.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 101971128      3.61%     95.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  65420098      2.32%     97.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  47634521      1.69%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  21025206      0.74%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6422896      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2825310185                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1979071     14.14%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.14% # attempts to use FU when none available (Count)
