
---------- Begin Simulation Statistics ----------
simSeconds                                   0.198231                       # Number of seconds simulated (Second)
simTicks                                 198230558484                       # Number of ticks simulated (Tick)
finalTick                                198230558484                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    228.93                       # Real time elapsed on the host (Second)
hostTickRate                                865896715                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1197972                       # Number of bytes of host memory used (Byte)
simInsts                                     26849924                       # Number of instructions simulated (Count)
simOps                                       52024410                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   117284                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     227249                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        633324469                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              23.587570                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.042395                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52489402                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      974                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       52388848                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1825                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               465960                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            798011                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 281                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           202705921                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.258448                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.122320                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 189394937     93.43%     93.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2586345      1.28%     94.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1384206      0.68%     95.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2386027      1.18%     96.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1432673      0.71%     97.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1535171      0.76%     98.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2087408      1.03%     99.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1248217      0.62%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    650937      0.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             202705921                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  631883     99.35%     99.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     2      0.00%     99.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.35% # attempts to use FU when none available (Count)
