
---------- Begin Simulation Statistics ----------
simSeconds                                   0.203006                       # Number of seconds simulated (Second)
simTicks                                 203006203560                       # Number of ticks simulated (Tick)
finalTick                                203006203560                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    740.94                       # Real time elapsed on the host (Second)
hostTickRate                                273984087                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2061200                       # Number of bytes of host memory used (Byte)
simInsts                                     86747992                       # Number of instructions simulated (Count)
simOps                                      170790740                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   117078                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     230505                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        648582121                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.476624                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.133750                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       171385002                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      965                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      171266987                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1776                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               595221                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            795014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 272                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           645712521                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.265237                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.159279                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 604497454     93.62%     93.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7318039      1.13%     94.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3705643      0.57%     95.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7259593      1.12%     96.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3750670      0.58%     97.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4860098      0.75%     97.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7184681      1.11%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4743117      0.73%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2393226      0.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             645712521                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2393563     99.84%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     2      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.84% # attempts to use FU when none available (Count)
