
---------- Begin Simulation Statistics ----------
simSeconds                                  13.122320                       # Number of seconds simulated (Second)
simTicks                                 13122320441041                       # Number of ticks simulated (Tick)
finalTick                                13122320441041                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  83980.31                       # Real time elapsed on the host (Second)
hostTickRate                                156254728                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   15155724                       # Number of bytes of host memory used (Byte)
simInsts                                  17797905260                       # Number of instructions simulated (Count)
simOps                                    29715675651                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   211930                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     353841                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      41924346458                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.355578                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.424524                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29751487347                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5083                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29742676352                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16946                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             35816773                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          42732724                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2404                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         41899549319                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.709857                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.515459                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               31523068187     75.23%     75.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                3085403066      7.36%     82.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2115523824      5.05%     87.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1731679676      4.13%     91.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1471233341      3.51%     95.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 938809754      2.24%     97.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 654529371      1.56%     99.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 309388550      0.74%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  69913550      0.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           41899549319                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11966223      5.89%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.89% # attempts to use FU when none available (Count)
