
---------- Begin Simulation Statistics ----------
simSeconds                                   0.770776                       # Number of seconds simulated (Second)
simTicks                                 770776291093                       # Number of ticks simulated (Tick)
finalTick                                770776291093                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2826.75                       # Real time elapsed on the host (Second)
hostTickRate                                272672037                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5607312                       # Number of bytes of host memory used (Byte)
simInsts                                    340552324                       # Number of instructions simulated (Count)
simOps                                      671455510                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120475                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     237536                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2462544062                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.231030                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.138293                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       672800690                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1001                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      672595550                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1811                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1346175                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1359028                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 317                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2432909097                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.276457                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.198920                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2276584419     93.57%     93.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  28332185      1.16%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9485583      0.39%     95.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  28407875      1.17%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14357653      0.59%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9638512      0.40%     97.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  37740528      1.55%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  18896502      0.78%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9465840      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2432909097                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9501344     99.92%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.92% # attempts to use FU when none available (Count)
