
---------- Begin Simulation Statistics ----------
simSeconds                                   3.834516                       # Number of seconds simulated (Second)
simTicks                                 3834516270978                       # Number of ticks simulated (Tick)
finalTick                                3834516270978                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  65292.50                       # Real time elapsed on the host (Second)
hostTickRate                                 58728280                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1160712                       # Number of bytes of host memory used (Byte)
simInsts                                  17499882282                       # Number of instructions simulated (Count)
simOps                                    29096306549                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   268023                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     445630                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      12250850707                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.700053                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.428463                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     29205604270                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   180790                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    29168463440                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  90304                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            109478505                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         160065679                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               64891                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         12242284944                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.382600                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.923400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2141652931     17.49%     17.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                2834516164     23.15%     40.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                2200945246     17.98%     58.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1670414243     13.64%     72.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1452756567     11.87%     84.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 939798539      7.68%     91.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 668476782      5.46%     97.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 269861376      2.20%     99.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  63863096      0.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           12242284944                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20718308      8.36%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      8.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      8.36% # attempts to use FU when none available (Count)
