
---------- Begin Simulation Statistics ----------
simSeconds                                   2.164729                       # Number of seconds simulated (Second)
simTicks                                 2164728913721                       # Number of ticks simulated (Tick)
finalTick                                2164728913721                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  18779.42                       # Real time elapsed on the host (Second)
hostTickRate                                115271328                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3105288                       # Number of bytes of host memory used (Byte)
simInsts                                   4364092100                       # Number of instructions simulated (Count)
simOps                                     7263421414                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   232387                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     386776                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       6916066818                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.584766                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.631008                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      7278037445                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12947                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     7273688228                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16115                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             14628972                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19663499                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5048                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          6870192876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.058731                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.746121                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                4335665167     63.11%     63.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 742074728     10.80%     73.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 526191351      7.66%     81.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 425273981      6.19%     87.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 359514255      5.23%     92.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 230713289      3.36%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 159542315      2.32%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  75210820      1.09%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  16006970      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            6870192876                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2585778      5.14%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.14% # attempts to use FU when none available (Count)
