
---------- Begin Simulation Statistics ----------
simSeconds                                   0.195452                       # Number of seconds simulated (Second)
simTicks                                 195452396150                       # Number of ticks simulated (Tick)
finalTick                                195452396150                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    736.52                       # Real time elapsed on the host (Second)
hostTickRate                                265372473                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2054032                       # Number of bytes of host memory used (Byte)
simInsts                                     85804688                       # Number of instructions simulated (Count)
simOps                                      169096680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   116500                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     229588                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        624448551                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.277558                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.137409                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       169683590                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      169562679                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1760                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               587885                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            784816                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 288                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           621534712                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.272813                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.176089                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 580857602     93.46%     93.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7180495      1.16%     94.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3612618      0.58%     95.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7175590      1.15%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3657771      0.59%     96.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4800189      0.77%     97.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7134794      1.15%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4735839      0.76%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2379814      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             621534712                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2385850     99.84%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%     99.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.84% # attempts to use FU when none available (Count)
