
---------- Begin Simulation Statistics ----------
simSeconds                                   3.924120                       # Number of seconds simulated (Second)
simTicks                                 3924119945964                       # Number of ticks simulated (Tick)
finalTick                                3924119945964                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  23723.30                       # Real time elapsed on the host (Second)
hostTickRate                                165412060                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5447180                       # Number of bytes of host memory used (Byte)
simInsts                                   4849068895                       # Number of instructions simulated (Count)
simOps                                     8188576159                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204401                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     345170                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      12537124429                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.585470                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.386777                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      8201576655                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2244                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     8198665579                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5492                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             13002734                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          15455202                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 945                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         12524947566                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.654587                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.484117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                9736659148     77.74%     77.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 786247061      6.28%     84.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 559787858      4.47%     88.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 473405697      3.78%     92.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 406136310      3.24%     95.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 263622314      2.10%     97.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 189456180      1.51%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  83832163      0.67%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  25800835      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           12524947566                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7469551     13.50%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.50% # attempts to use FU when none available (Count)
