
---------- Begin Simulation Statistics ----------
simSeconds                                   0.764553                       # Number of seconds simulated (Second)
simTicks                                 764552523660                       # Number of ticks simulated (Tick)
finalTick                                764552523660                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2825.11                       # Real time elapsed on the host (Second)
hostTickRate                                270627404                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5606292                       # Number of bytes of host memory used (Byte)
simInsts                                    340336756                       # Number of instructions simulated (Count)
simOps                                      671080259                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120468                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     237541                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2442659821                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.177185                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.139330                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       672423838                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1007                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      672219076                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1842                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1344580                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1357086                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 323                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2433099011                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.276281                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.198601                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2276869506     93.58%     93.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  28320951      1.16%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9476586      0.39%     95.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  28387676      1.17%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14337233      0.59%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9626105      0.40%     97.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  37726661      1.55%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  18891842      0.78%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9462451      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2433099011                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9500182     99.94%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.94% # attempts to use FU when none available (Count)
