
---------- Begin Simulation Statistics ----------
simSeconds                                  25.997928                       # Number of seconds simulated (Second)
simTicks                                 25997927868086                       # Number of ticks simulated (Tick)
finalTick                                25997927868086                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 130940.42                       # Real time elapsed on the host (Second)
hostTickRate                                198547759                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   26990796                       # Number of bytes of host memory used (Byte)
simInsts                                  53065365297                       # Number of instructions simulated (Count)
simOps                                    88274917312                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   405263                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     674161                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      83060472423                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.565248                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.638876                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     88445942563                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1363                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    88394716020                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  85240                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            171026608                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         228180829                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 568                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         82918521126                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.066043                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.749424                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               52098668799     62.83%     62.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                9068306249     10.94%     73.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                6353017751      7.66%     81.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                5162059020      6.23%     87.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                4368362412      5.27%     92.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                2836393015      3.42%     96.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                1927534650      2.32%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 919859254      1.11%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 184319976      0.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           82918521126                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                24633343      4.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     5      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    256      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     84      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    30      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      4.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      4.00% # attempts to use FU when none available (Count)
