
---------- Begin Simulation Statistics ----------
simSeconds                                   0.503290                       # Number of seconds simulated (Second)
simTicks                                 503290046147                       # Number of ticks simulated (Tick)
finalTick                                503290046147                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1050.69                       # Real time elapsed on the host (Second)
hostTickRate                                479007290                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1277840                       # Number of bytes of host memory used (Byte)
simInsts                                     37233999                       # Number of instructions simulated (Count)
simOps                                       70720758                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    35438                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      67309                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1607955420                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              43.185139                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.023156                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        71253143                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      959                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       71186846                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1891                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               533338                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            891889                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 266                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1605661661                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.044335                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.463445                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1586408624     98.80%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4083302      0.25%     99.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2300842      0.14%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3537506      0.22%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2411355      0.15%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2141592      0.13%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2664949      0.17%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1361660      0.08%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    751831      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1605661661                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  685894     99.25%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     2      0.00%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.25% # attempts to use FU when none available (Count)
