
---------- Begin Simulation Statistics ----------
simSeconds                                   0.300295                       # Number of seconds simulated (Second)
simTicks                                 300294788510                       # Number of ticks simulated (Tick)
finalTick                                300294788510                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    726.34                       # Real time elapsed on the host (Second)
hostTickRate                                413436142                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2071440                       # Number of bytes of host memory used (Byte)
simInsts                                     89033057                       # Number of instructions simulated (Count)
simOps                                      174967487                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   122578                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     240890                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        959408271                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              10.775866                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.092800                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       175610706                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      995                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      175470151                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1861                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               644208                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            913427                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 311                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           627714514                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.279538                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.201004                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 586659666     93.46%     93.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7344212      1.17%     94.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2651340      0.42%     95.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7495858      1.19%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4009818      0.64%     96.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2709866      0.43%     97.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9600419      1.53%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4802111      0.77%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2441224      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             627714514                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2389629     99.81%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.81% # attempts to use FU when none available (Count)
