
---------- Begin Simulation Statistics ----------
simSeconds                                   0.224037                       # Number of seconds simulated (Second)
simTicks                                 224037426012                       # Number of ticks simulated (Tick)
finalTick                                224037426012                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    798.15                       # Real time elapsed on the host (Second)
hostTickRate                                280696952                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2080660                       # Number of bytes of host memory used (Byte)
simInsts                                     89342322                       # Number of instructions simulated (Count)
simOps                                      175460761                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   111937                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219835                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                        715774525                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.011595                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.124819                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       176071538                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      975                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      175961994                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1799                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               611746                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            819095                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 282                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           712987055                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.246795                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.117146                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 670296663     94.01%     94.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7687990      1.08%     95.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3956841      0.55%     95.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7496485      1.05%     96.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4014642      0.56%     97.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5023326      0.70%     97.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7315880      1.03%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4761435      0.67%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2433793      0.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             712987055                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2412801     99.83%     99.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     2      0.00%     99.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.83% # attempts to use FU when none available (Count)
