
---------- Begin Simulation Statistics ----------
simSeconds                                  28.629074                       # Number of seconds simulated (Second)
simTicks                                 28629073738067                       # Number of ticks simulated (Tick)
finalTick                                28629073738067                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 111905.01                       # Real time elapsed on the host (Second)
hostTickRate                                255833701                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   31349968                       # Number of bytes of host memory used (Byte)
simInsts                                  39411978044                       # Number of instructions simulated (Count)
simOps                                    65679071898                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   352191                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     586918                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      91466689260                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.320784                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.430889                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     65754100157                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1454                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    65735451209                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20747                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             75029707                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          88769028                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 623                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         91434401792                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.718936                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.520808                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               68417213204     74.83%     74.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                6918738705      7.57%     82.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                4669291925      5.11%     87.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                3836878377      4.20%     91.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                3237050957      3.54%     95.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                2093513924      2.29%     97.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                1427947821      1.56%     99.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 686101883      0.75%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 147664996      0.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           91434401792                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                23036659      5.04%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.04% # attempts to use FU when none available (Count)
