
---------- Begin Simulation Statistics ----------
simSeconds                                   0.782356                       # Number of seconds simulated (Second)
simTicks                                 782356063507                       # Number of ticks simulated (Tick)
finalTick                                782356063507                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2902.03                       # Real time elapsed on the host (Second)
hostTickRate                                269589562                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5610384                       # Number of bytes of host memory used (Byte)
simInsts                                    340913506                       # Number of instructions simulated (Count)
simOps                                      672121925                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   117474                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     231604                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2499540140                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.331889                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.136390                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       673472266                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      998                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      673266277                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1854                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1351333                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1364573                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 314                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2436433745                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.276333                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.198451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2279902259     93.58%     93.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  28341452      1.16%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9535688      0.39%     95.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  28459579      1.17%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14425475      0.59%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9674556      0.40%     97.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  37734286      1.55%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  18889284      0.78%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9471166      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2436433745                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9488532     99.88%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.88% # attempts to use FU when none available (Count)
