
---------- Begin Simulation Statistics ----------
simSeconds                                   0.783681                       # Number of seconds simulated (Second)
simTicks                                 783681333677                       # Number of ticks simulated (Tick)
finalTick                                783681333677                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2870.54                       # Real time elapsed on the host (Second)
hostTickRate                                273008238                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5612432                       # Number of bytes of host memory used (Byte)
simInsts                                    340981432                       # Number of instructions simulated (Count)
simOps                                      672234718                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   118786                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     234184                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2503774230                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.342846                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.136187                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       673490424                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      957                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      673335101                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1868                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1256657                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1009499                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 264                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2440669431                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.275881                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.183048                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2279417242     93.39%     93.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  28399116      1.16%     94.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14217593      0.58%     95.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  28436334      1.17%     96.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14399684      0.59%     96.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  19036120      0.78%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28398104      1.16%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  18898067      0.77%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9467171      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2440669431                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9503473     99.96%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.96% # attempts to use FU when none available (Count)
