
---------- Begin Simulation Statistics ----------
simSeconds                                   0.761617                       # Number of seconds simulated (Second)
simTicks                                 761616948618                       # Number of ticks simulated (Tick)
finalTick                                761616948618                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2778.29                       # Real time elapsed on the host (Second)
hostTickRate                                274131207                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5597984                       # Number of bytes of host memory used (Byte)
simInsts                                    340048354                       # Number of instructions simulated (Count)
simOps                                      670523518                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   122395                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     241344                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2433280987                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.155691                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.139749                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       672332793                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      738                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      672145659                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1592                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1810007                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1253409                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 153                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2431500565                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.276432                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.162941                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2256540754     92.80%     92.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  42321169      1.74%     94.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9536178      0.39%     94.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37799933      1.55%     96.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14303225      0.59%     97.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  28305224      1.16%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  14382353      0.59%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  14174635      0.58%     99.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14137094      0.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2431500565                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4816135     99.23%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.23% # attempts to use FU when none available (Count)
