
---------- Begin Simulation Statistics ----------
simSeconds                                   0.767949                       # Number of seconds simulated (Second)
simTicks                                 767949433471                       # Number of ticks simulated (Tick)
finalTick                                767949433471                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2890.19                       # Real time elapsed on the host (Second)
hostTickRate                                265708746                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5612436                       # Number of bytes of host memory used (Byte)
simInsts                                    340961318                       # Number of instructions simulated (Count)
simOps                                      672184254                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   117972                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     232574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2453512568                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.195868                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.138969                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       673426418                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      970                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      673274672                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1800                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1243128                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            987797                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 277                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2450725103                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.274725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.180710                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2289488747     93.42%     93.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  28394692      1.16%     94.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  14217524      0.58%     95.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  28435974      1.16%     96.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14400707      0.59%     96.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  19025125      0.78%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28397463      1.16%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  18895189      0.77%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9469682      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2450725103                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 9503866     99.96%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.96% # attempts to use FU when none available (Count)
