
---------- Begin Simulation Statistics ----------
simSeconds                                  12.080226                       # Number of seconds simulated (Second)
simTicks                                 12080225902968                       # Number of ticks simulated (Tick)
finalTick                                12080225902968                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 117437.93                       # Real time elapsed on the host (Second)
hostTickRate                                102864769                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2470096                       # Number of bytes of host memory used (Byte)
simInsts                                  53551900775                       # Number of instructions simulated (Count)
simOps                                    89084944138                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   456002                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     758570                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                      38594970937                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.720702                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.387536                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     89410861120                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1348                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    89298974007                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 234656                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            325918324                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         480305304                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 553                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         38583637699                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.314426                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.945331                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                7800330327     20.22%     20.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                8595711581     22.28%     42.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                6638661177     17.21%     59.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                5090012255     13.19%     72.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                4457904927     11.55%     84.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                2921008169      7.57%     92.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                2034062026      5.27%     97.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 852707298      2.21%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 193239939      0.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           38583637699                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                73430258      9.47%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     5      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      9.47% # attempts to use FU when none available (Count)
