
---------- Begin Simulation Statistics ----------
simSeconds                                   0.486962                       # Number of seconds simulated (Second)
simTicks                                 486962088460                       # Number of ticks simulated (Tick)
finalTick                                486962088460                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2510.74                       # Real time elapsed on the host (Second)
hostTickRate                                193951296                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1592856                       # Number of bytes of host memory used (Byte)
simInsts                                    353347024                       # Number of instructions simulated (Count)
simOps                                      634617876                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   140734                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     252761                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1555789421                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.403007                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.227118                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       637285513                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1087                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      636749881                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2222                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2668718                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3386804                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 358                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1550413442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.410697                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.338736                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1387360310     89.48%     89.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14464361      0.93%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27270183      1.76%     92.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  32314391      2.08%     94.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  30411734      1.96%     96.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  24367371      1.57%     97.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  18435345      1.19%     98.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9611856      0.62%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6177891      0.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1550413442                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2278535     56.73%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     56.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     56.73% # attempts to use FU when none available (Count)
