
---------- Begin Simulation Statistics ----------
simSeconds                                   0.502297                       # Number of seconds simulated (Second)
simTicks                                 502297258662                       # Number of ticks simulated (Tick)
finalTick                                502297258662                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2429.98                       # Real time elapsed on the host (Second)
hostTickRate                                206708363                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1592852                       # Number of bytes of host memory used (Byte)
simInsts                                    362553587                       # Number of instructions simulated (Count)
simOps                                      650084195                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   149200                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     267527                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1604783575                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.426335                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.225921                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       653598511                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1029                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      652876305                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2424                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3515339                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4184289                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 330                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1598109439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.408530                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.335429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1430731505     89.53%     89.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15074645      0.94%     90.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27970405      1.75%     92.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33159885      2.07%     94.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  31201356      1.95%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  24812529      1.55%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19013108      1.19%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9733570      0.61%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6412436      0.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1598109439                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2320091     56.20%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     56.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     56.20% # attempts to use FU when none available (Count)
