
---------- Begin Simulation Statistics ----------
simSeconds                                   0.778691                       # Number of seconds simulated (Second)
simTicks                                 778690848531                       # Number of ticks simulated (Tick)
finalTick                                778690848531                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3191.58                       # Real time elapsed on the host (Second)
hostTickRate                                243983013                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2843164                       # Number of bytes of host memory used (Byte)
simInsts                                    353346818                       # Number of instructions simulated (Count)
simOps                                      634617498                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   110712                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     198841                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2487830188                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               7.040760                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.142030                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       637233185                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1077                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      636728460                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2199                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2616758                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3265634                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 348                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2482237668                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.256514                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.071203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2314802466     93.25%     93.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  20637674      0.83%     94.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  26930988      1.08%     95.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  30322346      1.22%     96.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  31491593      1.27%     97.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  22849773      0.92%     98.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20461814      0.82%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9652461      0.39%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   5088553      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2482237668                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2177776     63.20%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     63.20% # attempts to use FU when none available (Count)
