
---------- Begin Simulation Statistics ----------
simSeconds                                   2.735483                       # Number of seconds simulated (Second)
simTicks                                 2735483088479                       # Number of ticks simulated (Tick)
finalTick                                2735483088479                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  20856.66                       # Real time elapsed on the host (Second)
hostTickRate                                131156360                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3775044                       # Number of bytes of host memory used (Byte)
simInsts                                   4599342374                       # Number of instructions simulated (Count)
simOps                                     7662132671                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   220522                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     367371                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      8739562584                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.900177                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.526267                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     7680493934                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    3377                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    7675117569                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 11855                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            18364634                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         24461041                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1400                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         8732881547                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.878876                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.560650                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               5960567838     68.25%     68.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                781103440      8.94%     77.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                594562724      6.81%     84.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                508268923      5.82%     89.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                439030850      5.03%     94.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                302874242      3.47%     98.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                122052628      1.40%     99.72% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 18095682      0.21%     99.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  6325220      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           8732881547                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                5490395     13.02%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                  1649      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     7      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     13.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     13.02% # attempts to use FU when none available (Count)
