
---------- Begin Simulation Statistics ----------
simSeconds                                   0.979471                       # Number of seconds simulated (Second)
simTicks                                 979471378577                       # Number of ticks simulated (Tick)
finalTick                                979471378577                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7008.03                       # Real time elapsed on the host (Second)
hostTickRate                                139764140                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2187840                       # Number of bytes of host memory used (Byte)
simInsts                                   1399919609                       # Number of instructions simulated (Count)
simOps                                     2365387454                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   199759                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     337525                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      3129301530                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.235344                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.447358                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2372324244                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    6402                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2370407108                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  7153                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             6943186                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          9510760                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4815                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         3124313027                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.758697                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.517990                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               2303255589     73.72%     73.72% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                213948140      6.85%     80.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                170780580      5.47%     86.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                153243374      4.90%     90.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                133626868      4.28%     95.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 92225157      2.95%     98.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 44944809      1.44%     99.61% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  8442505      0.27%     99.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  3846005      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           3124313027                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                2923208     21.80%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    1      0.00%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     21.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     21.80% # attempts to use FU when none available (Count)
