
---------- Begin Simulation Statistics ----------
simSeconds                                   7.599154                       # Number of seconds simulated (Second)
simTicks                                 7599153583602                       # Number of ticks simulated (Tick)
finalTick                                7599153583602                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  59927.50                       # Real time elapsed on the host (Second)
hostTickRate                                126805793                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8166976                       # Number of bytes of host memory used (Byte)
simInsts                                  13490921437                       # Number of instructions simulated (Count)
simOps                                    22379728088                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   225121                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     373447                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          2500                       # Clock period in ticks (Tick)
system.cpu0.numCycles                     24278445955                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.799614                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.555675                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    22429252364                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   13376                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   22414299300                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 29141                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            49537646                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         66376433                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               9389                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples        24262511361                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.923824                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.575005                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0              16075894109     66.26%     66.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1               2352764418      9.70%     75.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2               1757301133      7.24%     83.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3               1508157575      6.22%     89.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4               1286134432      5.30%     94.72% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                887806694      3.66%     98.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                335395848      1.38%     99.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 45943611      0.19%     99.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 13113541      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total          24262511361                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               13657890     11.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    2      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     11.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                  5316      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    11      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    1      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                 384      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     11.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     11.01% # attempts to use FU when none available (Count)
